Comments,sentiment
"আপনেরা সেটা না দিয়ে অন্য কিছু দিবেন,",Negative
আমার কাছে প্রচুর পরিমাণে রাগ উঠে,Negative
আমার কোন কমপ্লেইন নেই,Positive
আমার খুব খারাপ অভিজ্ঞতা ছিল।,Negative
আমার জন্য ভাল অভিজ্ঞতা ছিল,Positive
আমার পন্যটি ফেরত দিব,Negative
আমার পরিচিত যারা ওভেন কিনেছে তারা সবাই এইটা কিনতে নিষেধ করেছে।,Negative
আমি এই জিন্স ভালোবাসি।,Positive
আমি ভোক্তা অধিকার আইনে মামলা করবো ৷,Negative
আমি মনে করি আমি আমার টাকা অপচয়,Negative
আমি সত্যিই হতাশ,Negative
আর কোন দিন কিছু কিনবো না।,Negative
আর পিকাবুর সার্ভিস সিস্টেম ভাল লেগেছে।,Positive
এই জিন্স আমার জন্য নিখুঁত।,Positive
এই দোকান এর সাথে ডিল না করা।,Negative
"এক কথায়, কম দামে ভালো জিনিস",Positive
এক টি শার্টের কথা বলে আরেকটা ডেলিভারী দিছে।,Negative
একদম অরিজিনাল।,Positive
একেবারে ফালতু জিনিস।,Negative
এটা অবশ্যই খুব ভাল পণ্য,Positive
এটা আমার জন্য ভাল অভিজ্ঞতা ছিল,Positive
এটা খুবই সমস্যাকর।,Negative
এটা তা সাপোর্ট করে না।,Negative
এটা দেখানো ছবির সঙ্গে মেলে না।,Negative
এটা মেনে নেওয়া যায় না।,Negative
এটা হতাশা জনক,Negative
এটি সঠিক গ্রাহক সেবা নয়,Negative
এটির হাওয়ার গতি পর্যাপ্ত না।,Negative
এত অভিযোগ!!!,Negative
এমনকি নকশাও না !!,Negative
এর কোয়ালিটি খুবই ভালো।,Positive
এরাই মার্কেটপ্লেস টা নস্ট করতেছে,Negative
"ওজনে হালকা, সর্বোপরি ভাল",Positive
কাপড় আমার প্রত্যাশা হিসাবে ভাল নয়।,Negative
কাপড় ও ভালো নাা,Negative
কাপড় টা আর একটু ভালো দেওয়া উচিত ছিল।,Negative
কাপড়ের কোয়ালিটি ও ভাল,Positive
কিছুই বিশেষ নয়।,Negative
কোন কমপ্লেইন নেই।,Positive
কোন রকম চিন্তা ভাবনা না করেই কিনতে পারেন।,Positive
কোন সমস্যা ছাড়া ব্যাবহার করতেছি।,Positive
কোন সমস্যা হয় নাই।,Positive
কোয়ালিটি অনেক ভালো প্রোডাক্টটি অরিজিনাল ছিল,Positive
কোয়ালিটিও খুব বাজে,Negative
ক্রয় করলে প্রতারিত হবেন।,Negative
ক্লোন ওয়ালেটের মধ্যে এটার মান সবচেয়ে ভাল।,Positive
খবরদার ফাঁসবেন না,Negative
খারাপ কোয়ালিটির প্রোডাক্ট পেয়েছি।,Negative
খুব দীর্ঘ টেকসই ইয়ারফোন।,Positive
"খুব ভাল, উচ্চ এবং পরিষ্কার শব্দ।",Positive
"খুব শীতল প্যাকেজিং, খুব স্থিতিশীল সংযোগ",Positive
খুবই সন্তুষ্ট প্রোডাক্ট টি পেয়ে,Positive
গায়ে দিয়ে বেশ আরাম লাগে।,Positive
গুণমান খুব খারাপ,Negative
"ঘষামাজা, রং উঠানো কিছু জায়গায়!",Negative
ঘ্রাণ দীর্ঘ সময় থাকে।,Positive
চমৎকার কর্মক্ষমতা,Positive
চার্জ অনেক বেশি থাকে,Positive
"চেইন এর অবস্থা ভালো না,",Negative
ছবি আর বাস্তবতা সম্পুর্ন ভিন্ন,Negative
ছবির কালার এর সাথে মিল নেই।,Negative
জনগণকে বিভ্রান্ত করা হচ্ছে,Negative
জিনিসটা খুবই কাজের।,Positive
জেনুইন পণ্য পেতে সেরা জায়গা।,Positive
ডিজাইন এ কিছু সমস্যা ছিল।,Negative
ডিজাইন ও সুন্দর।,Positive
দয়া করে আপনারা কিনেন না,Negative
দাম অনুযায়ী খারাপ না,Positive
দাম অনুযায়ী ভাল পেয়েছি।,Positive
দাম অনুযায়ী ভালো।,Positive
দারাজের মত অনলাইন শপ আমরা চাই না বাংলাদেশে,Negative
দারাজের সেবা পেয়ে আমি সন্তুষ্ট নই ।,Negative
দীর্ঘ সময়ের জন্য লোড শেডিং টেকসই।,Positive
দ্রুত ডেলিভারির জন্য আপনাকে ধন্যবাদ।,Positive
ধন্যবাদ গেজেট হোম।,Positive
ধন্যবাদ দিতে বাধ্য হলাম,Positive
"ধুরু, অমাকে হয়রানি করলেন",Negative
নষ্ট হেডফোন দিছে দারাজ,Negative
নিম্নমানের প্রোডাক্ট।,Negative
পণ্যটিতে আপাতত কোন ডিস্কাউন্ট অফার নেই,Negative
পরে তা ফেরত দিয়ে দিতে বাধ্য হয়েছি।,Negative
পুরোপুরি উপযুক্ত নয়।,Negative
পুরোপুরি তাজা এবং শীতল খাদ্য রাখে।,Positive
প্যাকেজিং টা পছন্দ হয়েছে।,Positive
প্রাইজ দুটির সমন্ময় দারুন তাই দারাজ জনপ্রিয় অন লাইনে শীর্ষে মার্কেট স্থান দখল করে আছে!,Positive
"প্রিন্টটা সেরকম নয়,পুরাই ভিন্ন",Negative
প্রোডাক্ট এর কোয়ালিটি ভাল,Positive
"প্রোডাক্টও সুন্দর, স্টাইলিশ।",Positive
প্রোডাক্টটা অথেন্টিক। সেলার অথেন্টিক প্রডাক্ট দিয়েছে। ধন্যবাদ সেলারকে।,Positive
প্রোডাক্টে কোন সমস্যা নেই,Positive
ফাইজলামি অর্ডার করছি আজ আট দিন এখন পর্যন্ত পন্য হাতে পাইনি।,Negative
"ফিটিং ভাল হয়েছে,",Positive
ফ্যাব্রিক ভাল মানের ছিল না।,Negative
ফ্যাব্রিক ভাল না।,Negative
"বিকাশে ক্যাশব্যাক পাওয়ার কথা, দেয়নি।",Negative
বেটারি ব্যাক আপ একটু খারাপ।,Negative
ব্যাটারী ভালো না!,Negative
ভাংগা ঢাকনা দিয়ে দিছে ।,Negative
ভাল মূল্যে ভাল পণ্য পাওয়া যায়।,Positive
ভুয়া একটা প্রডাক্ট..!!,Negative
ভুল পণ্য দেওয়া হয়েছে,Negative
মনে হচ্ছে পুরো টাকাটাই ধরা খেলাম।,Negative
মানুষ অনলাইনের বিশ্বাস করত পারে না।,Negative
মানুষ ঠকানোর ধান্দা 😠।,Negative
মিথ্যা কথা বলে প্রোডাক্ট বিক্রি করেন।,Negative
মোটেও ক্যাটালগ এর মতো ছিলনা।,Negative
যাই হোক প্রোডাক্ট ভালোই।,Positive
যারা কিনি তাদের পরতে হয় ভোগান্তিতে।,Negative
রেজুলেশন ভালো ও স্পিকার রয়েছে।,Positive
শব্দ মানের খুব অনন্য।,Positive
শার্ট ফ্যাব্রিক খুব মসৃণ এবং আরামদায়ক ছিল।,Positive
সম্ভবত জিনজিরার ২ নাম্বার জিনিস দিয়ে বোতলের ভিতর দিয়ে দেয়।,Negative
সাউন্ড কোয়ালিটি একদমই ভালো না,Negative
সাউন্ড কোয়ালিটি কত্তো বাজে তা বলে বুঝাতে পারবো নাহ,Negative
সাউন্ড কোয়ালিটি ভাল হবে না জানি।,Negative
সাউন্ড কোয়ালিটি ভাল।,Positive
সাউন্ডের গুণমান ভাল।,Positive
সামগ্রিকভাবে সন্তোষজনক না।,Negative
সেন্টি অনেক ভালো,Positive
সেলাই এ অনক সমস্যা।,Negative
স্পষ্ট ভয়েস সঙ্গে পারফেক্ট ফোন।,Negative
হ্যারাসমেন্টও কাস্টমারের,Negative
", আগে খুব ভাল ছিল,",Negative
", ফোন আসলেই সুন্দর, সুন্দর লুক",Positive
",কিন্তু কানে একদমই আনকমফোর্টেবল আমি এটাকে ১০ এর ভিতর একও দিবো না,,এটা কেউ কিনবেন না",Negative
।কথা বলা যায় না।ফোনে দিলে বার বার ডিস্কানেক্ট হয়।আপনাদের মতোন সেলারদের জন্য দারাজের নাম খারাপ হয়,Negative
ফিটিং ও ভাল ছোট হয়নি ।,Positive
"১ ঘন্টার বেশি চার্জ থাকে না,",Negative
১ নম্বরের ভাওতাবাজি।,Negative
1 বা 2 ঘন্টা বিতরণ করা হয়নি তবে এইচ বিতরণ করেছে :),Negative
১ মাসের মধ্যেই বাম সাইডের এর ১টা নষ্ট হয়ে যায়।,Negative
১০০ টাকা হিসেবে ভালই,Positive
১০০ টাকার ডিল হিসেবে চমৎকার।,Positive
১০০% জেনুইন পাওয়ার ব্যাংক,Positive
১১ টাকায় প্রোডাক্ট টা ভুয়া,Negative
১১.১১ এ বাটপারির শিকার হয়েছি,Negative
"১১.১১ এ বাটপারির শিকার হয়েছি। দাম বেশি দেখিয়ে ডিস্কাউন্ট দেখায়, আবার প্রোডাক্ট এর প্যাকেট ভিতরে খোলা ছিল। ব্রাশ ছিল না।",Negative
"১৪ মে,২০২৩ রিসিভ করেছি, ১৮মে রাত পর্যন্ত কথা শোনা গেলো ইয়ারফোন দিয়ে এখন আর কিছুই শোনা যায় না!",Negative
1দিন ব্যবহার করেছি তার পর নষ্ট হয়া গেছে।,Negative
"১ম দুই দাগ সাথে সাথে চার্জ উঠে যায়, হায়রে!",Negative
১ম বার দারাজ থেকে ভরসায় ওঠে গেলো🤬,Negative
২ জায়গায় কাটা। এইগুলা চেক করে সেন্ড করা উচিৎ ছিল।,Negative
"২ টা নিয়েছি ভালো হয়েছে।। যে কালার চাইছি সেটা পাওয়া 
আমি হ্যাপি চাইলে আপনারা ও নিতে পারেন আমি ভালো পেয়েছি",Positive
২ টা মালের অর্ডার করেছিলাম যেরকম দেখেছিলাম সেরকম পেয়েছি খুব ভালো লাগলো। ধন্যবাদ দারাজ।,Positive
২ দিনও হয় নাই একটা ইয়ারফোন নষ্ট হয়ে গেছে।,Negative
2 সপ্তাহ ব্যবহারের পরে আমি মনে করি এটি দুর্দান্ত,Positive
২০০ টাকার বেশি দাম এটার না।,Negative
"২৪২ টাকায় মোটামুটি ভালো, ১০ এ ৮ দেওয়া যায়। দারাজ এবং সেলার কে অনেক অনেক ধন্যবাদ। যা ORDER করছি তা পেয়েছি, তার জন্য ধন্যবাদ। আর ছবিতে যা দেখছি যে কোয়ালিটি দেখছি তা পাইছি, এমন না যা খারাপ টা পাইছি। তবে এতটুকু বলতেই পারি jersey T-shirt - just do it সন্তোষজনক 💥👍🏼✨",Positive
"২৯৫ টাকা দিয়ে অর্ডার করলাম কালোটা আর দিয়ে দিলো ২৪৫ টাকা দামের সাদাটা। আমি সবসময় দারাজ থেকে প্রোডাক্ট কিনি কখনোই এমন হয় না। সবাইকে প্রোডাক্ট কিনতে উৎসাহিতও করি। তাদের জানানো হলে বলে কালোটা ভালো না তাই সাদাটা দেওয়া হয়েছে। তবে আমার ৫০ টাকা ব্যাক দিবেনা কেনো? খুবই হতাশ আমি! সবাইকে সতর্ক করি ভালো পেইজ, বিশ্বস্ত পেইজ দেখে ক্রয় করবেন।",Negative
২মাস ধরে চালাচ্ছি এখন পর্যন্ত অনেক ভাল সার্ভিস।,Positive
৪ প্যাকেট অর্ডার করে বিপদে পড়েছি।,Negative
৪০ টাকা দামের খুবিই নিম্ন মানের প্রোডাক্ট।,Negative
৬ মাস ধরে ব্যবহার করছি এখনো ঠিক সার্ভিস দিচ্ছে।,Positive
"৬-৭ দিন ব্যাবহার করার পরেই পিন এ সমস্য হইছে, সাউন্ড ঘ্যন ঘ্যন করা শুরু করছে। টাকা টাই লস",Negative
৭ দিন শেষ আর আমার ইয়ারফোন ও নষ্ট হয়ে গেছে এখন রিটার্ন করার কোনো উপায় ও নেই,Negative
৭ দিনের মধ্যে নষ্ট হয়ে গেছে।,Negative
আমজফিট বিআইপি সঙ্গে মাপসই করবেন না।,Negative
এঙ্কর সর্বদা একটি গ্রেট ব্র্যান্ড।,Positive
বেজ বলতে কিছু নাই।,Negative
দারাজ আমার সাথে প্রতারনা করেছে।,Negative
ডিসাইন খুবই সুন্দর।,Positive
জিয়ার ৫ এবং পিকাবো উভয় চমৎকার।,Positive
শাওমি সবসময় তাদের মান বজায় রাখে।,Positive
"অনলাইনে দেখতে যেমন, বাস্তবে তার থেকে আলাদা।",Negative
ওভারঅল ভালো ছিলো,Positive
পিকাবো পণ্য কেনার জন্য একটি নির্ভরযোগ্য উৎস।,Positive
পিকাবো এর সেবা জন্য খুশি। খুবই ভালো করেছে,Positive
পিকাবো থেকে সত্যিই ভাল সেবা পাওয়া যায়।,Positive
পিকাবো থেকে সব ভাল ব্রান্ডের সেরা সংগ্রহ আছে।,Positive
পিকাবো মধ্যে পণ্য মানের সম্পর্কে কোন সন্দেহ নেই,Positive
পিকাবো শিপিং সিস্টেম খুব ব্যবহারকারী বন্ধুত্বপূর্ণ এবং নির্ভরযোগ্য।,Positive
পিকচার এর সাথে প্রোডাক্ট এর অনেক পার্থক্য,Negative
দাম অনুযায়ি খারাপ না তবে আলো একটু কম।,Positive
কোয়ালিটি অনেক খারাপ পিক এর সাথে সাথে কোন মিল নাই..,Negative
ভিডিও দেখে ভালো লাগবে না |,Negative
ভি আর বক্স টা যতটা ভাল,Positive
অক্ষত এবং সম্পূর্ণরূপে সন্তুষ্ট।,Positive
অডার দেই এক কালার আসে আরেক কালার ফাজলামির একটা শিমা থাকা দরকার আবার কাপড় টাও খারাপ,Negative
অতি লোভী সেলারদের জন্য দেশের অনলাইন শপিং সাইটগুলো দাড়াতে পারছে না।,Negative
"অতিরিক্ত দাম, টাকার মূল্য নষ্ট",Negative
অত্যন্ত অনন্য স্পিকার।,Positive
অত্যন্ত আকর্ষণীয় এটি।,Positive
অত্যন্ত কার্যকরী পণ্য! আমি এটি ব্যবহার করে খুব সন্তুষ্ট।,Positive
অত্যন্ত খারাপ তুলো এবং মুদ্রণ,Negative
অত্যন্ত বাজে মানের শব্দ।,Negative
অত্যন্ত বাঞ্ছনীয়. সামগ্রিকভাবে এটি একটি দারুন ফোন।,Positive
অত্যন্ত ভাল কর্মক্ষমতা।,Positive
"অত্যন্ত শক্তিশালী মানের নির্মাণ , পুরো শরীর ধাতুর ।",Positive
অত্যন্ত শক্তিশালী এবং গ্রেট ওয়্যারেন্টি,Positive
অত্যন্ত শক্তিশালী এবং দক্ষ।,Positive
অত্যন্ত সুন্দর একটা প্রোডাক্ট ধন্যবাদ দ্বারাজ কে প্রোডাক্টটি দ্রুত ডেলিভারি দেওয়ার জন্য,Positive
অনলাইন থেকে কাপড় কিনে ভালো এক্সপেরিয়েন্স হইলো,Positive
অনলাইনে কেনাকেটা বিশ্বাসযোগ্যতা হারাবেন।,Negative
"অনুগ্রহ করে সতর্ক হোন, ডেলিভারি কিছুটা বিলম্বিত হয়েছে। জুতাটি মুটা মুটি দামের সাথে তুলনামূলকভাবে কম মানের হতে পারে।",Negative
অনুসন্ধান থেকে ডেলিভারি সামগ্রিক অভিজ্ঞতা ভাল ছিল।,Positive
অনেক অনেক ধন্যবাদ ।আমি আমার মনের মত পন্যটি পেয়েছি।যেমন চেয়েছিলাম তেমন পেয়েছি,Positive
অনেক অনেক ভাল পন্য পেয়েছি,Positive
অনেক অনেক ভালো ছিল জুতা টি।,Positive
অনেক আশা নিয়ে এই ইয়ারফোন টি কিনেছিলাম এদের বিশ্বাস করে। কিন্তু এরা আমাকে এমনভাবে ঠকাবে ভাবতে পারি নাই।,Negative
"অনেক খারাপ শার্ট
রং ওঠে গেছে একবার পরার পরে",Negative
অনেক দন্যবাদ সেলার বাই।,Negative
অনেক দ্রুত ডেলিভারী পেয়েছি,Positive
অনেক ধন্যবাদ দারাজ কে।এতো কম দামে এতো সুন্দর প্রোডাক্ট দেওার জন্য। যে কেও নিতে পারেন। অরিজিনাল প্রোডাক্ট টি পেয়েছি,Positive
অনেক ধন্যবাদ প্রথমে বিশ্বাস হয়নি যে এত সুন্দর একটি প্রোডাক্ট পাব 🥰ধন্যবাদ সেলার কে। ধন্যবাদ দারাজ,Positive
"অনেক পছন্দ হইছে পণ্যটা, মনে হচ্ছে ভালই।",Positive
অনেক বাজে কোয়ালিটির হেডফোন। একদম বাজে ভাবে গুলিস্তান এর মাল ধরায়া দিছে।,Negative
অনেক বেশি ভাল লেগেছে আমি তাই খুব সন্তুষ্ট।,Positive
অনেক ভাল পাওয়ার ব্যাঙ্ক,Positive
অনেক ভাল একটি আতর।,Positive
অনেক ভাল একটি প্রোডাক্ট যেমন চেয়েছিলাম কেমন পেয়েছি ধন্যবাদ সেলার কে দ্রুত দেওয়ার জন্য নিঃসন্দেহে আপনার নিতে পারেন জোশ একটা সানগ্লাস,Positive
অনেক ভাল কর্মক্ষমতা,Positive
"অনেক ভাল ছিল, ঠিক যেমন দেখেছি তেমন এ।",Positive
অনেক ভাল তাই আমি ফিরত পাঠাবো।,Negative
"অনেক ভাল মানের একটি ঘড়ি,",Positive
অনেক ভাল মানের কাপড় মনে হয়েছে।,Positive
"অনেক ভাল লেগেছে, কোনো সমস্যা নেই।",Positive
"অনেক ভালো , এই দাম এ এর থেকে আর ভালো হইতেই পারে না ।",Positive
অনেক ভালো একটা এয়ার বাডস। সাউন্ড কোয়ালিটি ঠিক আছে। চার্জ দিলে ২ ঘন্টার উপরে চলে।,Positive
"অনেক ভালো কোয়ালিটি,",Positive
অনেক ভালো প্রোডাক্ট। ইউজ করছি অনেক ভালো লাগছে।,Positive
অনেক ভালো বিশেষ করে প্যাকেজিং টা দারুণ আমার কাছে ১০/১০ কিছুদিন ব্যবহার করলেই বাকীটা বুঝা যাবে।এত অল্প টাকায় এতো সুন্দর একটা প্রোডাক্ট।,Positive
"অনেক ভালো ব্যবহার করে ভালো লাগলো,",Positive
অনেক ভালো মানের ঘড়ি,Positive
"অনেক ভালো লাগছে,, কাপড়ের কোয়ালিটি ও ভালো ,,তবে ওড়নাটা আরেকটু বড়ো হলে খুবি চমৎকার হইতো",Positive
অনেক মোটা সুতা দিয়ে সেলাই! এক কথায় আমি অসন্তুষ্ট! আর সেলার খুবই ইরেস্পন্সিভ!,Negative
অনেক মোটা। ব্লুটুথ গুলা একবারে বাজে😡,Negative
অনেক সুন্দর কোয়ালিটি দারুন,Positive
"অনেক সুন্দর জিনিস। প্রোডাক্টের মান ভালো। কেউ লেজার লাইট নিতে ইচ্ছুক হলে অর্ডার করতে পারেন।
",Positive
অনেক সুন্দর প্রোডাক্ট। Like it,Positive
"অনেক সুন্দর,, সাউন্ড কোয়ালিটিও ভালো",Positive
অনেকটাই ছবির মতো দেখতে হলেও দাম অনুপাতে কোয়ালিটি ভালো না,Negative
অন্য প্রোডাক্ট এর বদলে একই কালার দুটি আসছে।,Negative
অন্য মডেল ডেলিভারি দেয়া হইছে যেটা কাম্য নয়।,Negative
অন্য শপের তুলনায় দাম অনেক বেশী,Positive
"অন্য সবার মতো আমিও আবেগ বসত হাতে পাবার পর রিভিও দিলে ভালো রিভিও দিতাম । প্রথম দিকে ভালো চলছিল কিন্তু 7 দিন পর নষ্ট হয়ে গেছে । যার অর্থ আমার সম্পূর্ণ টাকা জলে ভেসে গেল । ছবি সংযুক্ত করছি দেখতে পারেন লাইট জ্বলে না ,অল্প আলো । খুব বাজে প্রোডাক্ট।",Negative
অন্যান্য ব্র্যান্ড এর তুলনায় দামে কম।,Positive
অপ্রতিরোধ্য যা সবচেয়ে ভাল প্রস্তাব,Positive
অফার এ নিয়েছিলাম দাম অনুযায়ী ভাল ।,Positive
"অফার ভাল ছিল, প্রডাক্ট ও ভালো",Positive
অফিস বা ব্যবসার জন্য নিখুঁত।,Positive
অফিসিয়াল শপ থেকে এটা আশা করা যায় না।,Negative
অবশেষে হুয়াওয়ে ওয়াই ৯ কিনে সন্তুষ্ট।,Positive
অবশ্য এই দামে খুব ভাল আশা করা যায় না,Positive
অবশ্য খারাপ না....!!,Positive
"অবাক এবং অসামঞ্জস্যকর মানের জুতা পেয়েছি যা এত কম দামের মধ্যেই এত সুন্দর আছে। আমি ভাবতে পারিনি যে এটি তাড়াতাড়ি ডেলিভারি পাব, কিন্তু সেলার ভাইকে অসংখ্য ধন্যবাদ জানাতে চাই যারা সম্পূর্ণ সময়ে এবং ঠিকঠাক পণ্য প্রদান করেছেন।",Positive
অবিশ্বাস্য !!! সুন্দর সেবা।,Positive
"অবিশ্বাস্য খাদ, চমৎকার স্বচ্ছতা।",Positive
অভারল ভেরি গুড প্রোডাক্ট,Positive
অরিজিনাল পন্য পেয়েছি।,Positive
অরিজিনাল পেয়েছি,Positive
অরিজিনাল পেয়েছি! 😍,Positive
"অরিজিনাল প্রডাক্ট, আমি সেটিসফাইড..!!",Positive
অরিজিনাল রঙ নেই।,Negative
"অর্ডার করছি আরেকটা দিছে এইটা, চিটার।",Negative
অর্ডার করছিলাম এইটা কিন্তু পাঠাইছে ২০০টাকার আরেকটা চিটিং,Negative
অর্ডার করলাম লোটো স্যান্ডেল ডেলিভারী করেছে খুবই নিন্ম মানের বালা স্যান্ডেল,Negative
"অর্ডার করা প্রডাক্টের সাথে ডেলিভারি প্রডাক্টের কোন মিল নাই,",Negative
অর্ডার করা ব্রান্ডের সাথে ডেলিভারি প্রোডাক্টের কোনো মিল নেই।,Negative
"অর্ডার করার তিন দিনের মধ্যে ডেলিভারি পেয়েছি। প্রোডাক্ট ঠিক ছিল, যেমন টা অনলাইনে দেখে অর্ডার করেছিলাম। সব ঠিকঠাক ছিল। সেলার কে অনেক ধন্যবাদ। 
তবে ট্রিমার টা দিয়ে এক চার্জে একবার দাড়ি কাটা যায়। চার্জ দিতেও অনেক সময় লাগে। চার্জিং ইস্যু ছাড়া আর কোন সমস্যা নাই।",Negative
"অর্ডার করেছি কিন্তু এটা পাইনি। ঘড়ি আর ইয়ারফোন অর্ডার করেছি, পেমেন্টও অর্ডার করার সময় করে দিয়েছি কিন্তু প্রোডাক্ট ডেলিভারির সময় পেলাম শুধু ঘড়ি, ইয়ারফোন পাইনি।",Negative
অর্ডার করেছিলাম 512 আর দিয়েছে 501 আবার যেটা পাঠিয়েছে সেটাও এক কানে ভালো শোনা যাচ্ছে না।,Negative
"অর্ডার করেছিলাম XXL পেয়েছি M সাইজ,, এইটা করলে ও পারতো সেলার,,",Negative
"অর্ডার দিছি একটা দিছে আরেকটা, ফালতু",Negative
অর্ডার দিলাম 9পিচ টাকা দিলাম 9পিচের পন্য দিলেন আট পিচ,Negative
"অর্ডার দিলাম একটা, ডেলিভারি পেলাম আরেকটা",Negative
অর্ডারের ডিটেইলসের সাথে মিল নেই..!!,Negative
"অর্থ প্রদানের আগে যোগাযোগ দুর্দান্ত। শূন্য যোগাযোগের পরে কিছু। আমি যখন বর্ণিত বিসি -তে কতটা পরিবর্তন করতে হবে তখন আমি উল্লেখ করেছি যে তিনি $ 5 চার্জ করার জন্য অনুরোধ করেছিলেন তা আমি পাইনি, তখন তিনি তার বিজ্ঞাপনটি দামের সাথে পাঁচটি সংশোধনী উল্লেখ করেও সংশোধন করার বিষয়ে কিছুই উল্লেখ করেননি। আমার যা দরকার ছিল তা ছিল কালো রঙের একটি পিএনজিতে এমআই পিক .. একটি মাথা ব্যাথা ছিল",Positive
অলহামদুলিল্লাহ। প্রোডাক্ট কোয়ালিটি অনেক ভালো,Positive
অল্প একটু নরাচরা করতেই একটা ব্রেসলেট ভেগ্ঙে যায়,Negative
অল্প জিনিস বহন করার জন্য খুবই সুন্দর একটি ব্যাগ,Positive
অল্প দামে অনেক ভালো একটা প্রোডাক্ট ধন্যবাদ জানাচ্ছি দারাজ কে।,Positive
অল্প দামে চমৎকার স্কেল।,Positive
অল্প দামের মধ্যে অসাধারণ এটা...,Positive
অল্প বাজেটে যারা কিবোর্ড কিনতে চাচ্ছেন তারা এই কীবোর্ডটি নিতে পারেন।,Positive
অল্পদামে ভালো একটা চয়েজ হতে পারে এটি।,Positive
অসাধ খুবই সুন্দর একটি প্রোডাক্টএবং এক কথায় বলতে গেলে অসাধারণ,Positive
অসাধারণ একটা এয়ার পর্ড। সাউন্ড সিষ্টেম দারুণ। দাম মাএ ২৩৪ টাকা। দাম অনুযায়ী দারুন 🥰,Positive
অসাধারণ একটি কভার,Positive
অসাধারণ একটি পাওয়ার ব্যাঙ্ক।,Positive
"অসাধারণ একটি প্রডাক্ট।ধন্যবাদ সেলারকে,এই রকম একটা প্রডাক্ট দেওয়ার জন্য।",Negative
"অসাধারণ জিন্স, পাতলা জিন্স, পরিধান আরামদায়ক।",Positive
অসাধারণ পণ্য! আমি অত্যন্ত সন্তুষ্ট এবং ভালো মতামত দিতে পারছি।,Positive
অসাধারণ পণ্য! এবং তার সাথে পাকেটটা ও খুব সুন্দর ছিল।,Positive
"অসাধারণ পণ্য, আমাকে সত্যিই সাহায্য করেছে।",Positive
অসাধারণ মানের পণ্যটি কিছুটা সাধারণ দামে পেয়েছি। সেলারকে আমার কৃতজ্ঞতা প্রকাশ করছি।,Positive
"অসাধারণ মানের পন্য সত্যিই! আরও সুন্দর ডিজাইন এবং জুতার মান অত্যন্ত উত্কৃষ্ট, সবাই আপনাদের কিনতে পারেন।",Positive
অসাধারণ মানের পন্যটি কিছুটা কম দামে পেয়েছি। সেলারকে আমার ধন্যবাদ জানাচ্ছি।,Positive
অসাধারন প্রোডাক্ট ধন্যবাদ দারাজ কে এত সুন্দর জিনিস দেওয়ার জন্য ডেলিভারি ম্যান অনেক ভালো ছিল,Positive
অসামান্য দামে এতো সুন্দর জুতা পেয়ে অত্যন্ত স্পষ্ট আনন্দ হচ্ছে।,Positive
আইটেম খুব খারাপ অবস্থায় ছিল।,Negative
আইটেমগুলি ব্যবহারযোগ্য নয়,Negative
আইটেমটি ব্যবহারযোগ্য নয়,Negative
আইপিএস পরিসীমা খুব শক্তিশালী,Positive
আউটলুক খুব আড়ম্বরপূর্ণ।,Positive
আকর্ষণীয় নকশা এবং আরামদায়ক,Positive
আকারের তুলনায় পাওয়ার ব্যাংক কর্মক্ষমতা বেশ ভাল,Positive
আগ্রহ হারিয়ে ফেলব।,Negative
আচ্ছা তদের নাম দারাজ না হয়ে ধান্দাবাজ হলো না কেন,Negative
"আজকে আমি এটা কিনছি,, এখন এটাতে একটা সমস্যা পাচ্ছি আমি, এই ইয়ারফোনের বাম কানের টাতে ডান এর সাউন্ড আসে এবংডান কানেরটাতে বাম কানের সাউন্ড আসে,",Negative
"আজকেই ডেলিভারি পেলাম, মোটামোটি দ্রুতই। 
এটা দারুন জিনিস! ছবিতে যা যা ছিলো তা সবই পেয়েছি এবং ঠিকঠাক আছে, আলোর তীব্রতাও বেশ যথাযথ। এখন কিছুদিন ব্যবহার করে দেখা যাক কি হয়। 
ধন্যবাদ বিক্রেতা এবং Daraz কে।",Positive
আটার অবস্থা খুবই দুর্বল,Negative
আন্তরিক ধন্যবাদ ও কৃতজ্ঞতা 🥰,Negative
আপনরা যা ডেলিভারি দিচ্ছেন মোটেও কাঙ্খিত নয়।,Negative
আপনাদের এত ভালো করে বলার পর একটা খারাপ হেডফোন দিছেন।,Negative
আপনাদের এসব প্যাচানো সিস্টেম বাদ দিন।,Negative
আপনাদের জিনিষ ফালতু কেনো?,Negative
আপনাদের তো দেখছি মুখের জবান ঠিক নাই,Negative
আপনাদের থেকে সেদিন নিয়েছি।,Positive
আপনাদের পোডাক্টের কোয়ালিটি চেক করে সেল দেয়া উচিত।,Negative
আপনাদের প্রোডাক্ট পেয়ে আমি খুশি।,Positive
"আপনাদের ব্যবহারে বুঝেছিলাম যে ভালো পাবো, কিন্ত এতো ভালো পাবো জানতাম না!",Positive
আপনাদের সপ থেকে আর পন্য কিনবো না,Negative
"আপনাদের সার্ভিস খুবই ফালতু,",Negative
আপনাদের সেলার ভালোনা ৩ দিন গুরিয়ে আজকে দিয়েছে,Negative
"আপনার কথা অনুযায়ী কাজের ফল পাওয়া যাচ্ছে, এটি অসাধারণ।",Positive
"আপনার কথা একেবারে কাজে পরিণত হচ্ছে, এটি অত্যন্ত সুন্দর।",Positive
"আপনার কথা কর্মে পরিণত হয়ে গিয়েছে, এটি অসাধারণ জন্য ভালো লাগছে।",Positive
